email_type,subcategory,subject,body,source
Phishing Email,insurance_claim,Your EOB Shows an Error - Please Verify,"Hi, we noticed a possible error on your most recent explanation of benefits. To make sure we get it corrected properly, please log in and confirm your date of birth and mailing address on file. hxxp://eob-correction.org Thanks for your patience, Member Services, Coastal Health Alliance",synthetic_llm_batch4
Phishing Email,insurance_claim,FINAL NOTICE: Claim Will Be Voided,"FINAL NOTICE. Claim #40218 will be automatically voided in 24 hours without a response. See attached voidance notice for details. Claims Processing, Union Hospital System",synthetic_llm_batch4
Phishing Email,insurance_claim,Prior Authorization Expired - Update Needed,"Our records show that the prior authorization on file for a patient's ongoing treatment has expired as of this week. Continued coverage of related services may be interrupted until a new authorization is submitted and approved. Please renew the authorization using the secure link below at your earliest convenience to avoid a gap in coverage for the patient. hxxp://priorauth-renew.net Utilization Management, Pioneer Health Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,We Need Your Updated Banking Info for Claim Payout,"Hi, it's Sandra in finance. We have a claim payout ready to go but our system flagged your banking info as outdated. Can you reply with your current routing and account number so I can release it today? Thanks, Sandra, Aspen Ridge Clinic",synthetic_llm_batch4
Phishing Email,insurance_claim,Fraud Alert: Unusual Claims Activity on Your Account,"We've detected unusual claims activity on your provider account that doesn't match your normal billing pattern. As a precaution, your account will be temporarily frozen unless you verify your identity within 24 hours. Verify here: hxxp://fraud-verify-now.net SafeGuard Health Insurance, Fraud Prevention",synthetic_llm_batch4
Phishing Email,insurance_claim,Claim Documentation Incomplete,"The documentation submitted with your recent claim is incomplete. Please review the attached checklist, gather the missing items, and resubmit through your usual channel. Medical Records/Billing, Cedarbrook Hospital",synthetic_llm_batch4
Phishing Email,insurance_claim,Reminder: Outstanding Claim Requires Your Response,"Just a friendly reminder that we're still waiting on a response regarding an outstanding claim on your account. No rush, but it would help us close this out when you get a chance. hxxp://claim-response-portal.net Claims Support, TrueCare Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Claim Has Been Selected for Random Audit,"As part of our ongoing quality assurance program, a recent claim submitted by your office has been randomly selected for audit. This is a routine process and does not necessarily indicate any wrongdoing. To avoid delay, please submit the supporting documentation listed in the audit request through the secure portal below within 15 business days. hxxp://audit-docs-submit.org Audit & Compliance, Vantage Health Group",synthetic_llm_batch4
Phishing Email,insurance_claim,Payment Reversal - Immediate Bank Verification Required,A pending payment reversal on your account requires immediate bank verification or it will fail and be delayed indefinitely. Verify now: hxxp://reversal-verify.net MedFlow Rx Insurance,synthetic_llm_batch4
Phishing Email,insurance_claim,Provider Portal Access Suspended Due to Billing Discrepancy,"Your access to the provider portal has been suspended pending resolution of a billing discrepancy identified on your account. To restore access, please review and confirm the flagged charges using the link below. hxxp://portal-restore-billing.net Green Valley Health Network, Provider Portal Support",synthetic_llm_batch4
Phishing Email,insurance_claim,Second Request: Claim Adjustment Form,"Just following up on my last email about the claim adjustment form. Attached again for convenience, whenever you get a chance to send it back. Thanks, Marcus Webb, Sunrise Urgent Care",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Claim Was Underpaid - Supplemental Payment Pending,"Good news, our review found that a recent claim on your account was underpaid by $214.50. To release the supplemental payment, please confirm your current bank details are still accurate at the link below. hxxp://supplemental-payment-confirm.com Claims Department, Bridgeway Health Plans",synthetic_llm_batch4
Phishing Email,insurance_claim,Action Required: Confirm Tax ID for 1099 Reporting,"As we prepare year-end 1099 reporting, we are required to confirm the tax identification number on file for your practice. Please complete the attached form and return it by the end of the month so we can ensure accurate reporting and avoid any delay in future payments. Finance Dept, Heritage Mutual Health",synthetic_llm_batch4
Phishing Email,insurance_claim,Denied Claim - Appeal Window Closing,"Your appeal window for the recently denied claim closes in 48 hours. Start your appeal now: hxxp://appeal-window-portal.net Appeals Coordinator, Northfield General Hospital",synthetic_llm_batch4
Phishing Email,insurance_claim,Unusual Login Detected on Your Provider Claims Account,"We detected a login to your provider claims account from an unrecognized device earlier today. If this wasn't you, please secure your account immediately using the link below. hxxp://claims-account-secure.net Empire Shield Health, Security Team",synthetic_llm_batch4
Phishing Email,insurance_claim,Please Verify Patient Eligibility Before We Process,"Hi, before we can finish processing this claim we need to confirm the patient's eligibility is still active. Quick verification here: hxxp://eligibility-verify.net Thanks, Eligibility Verification, Palm Coast Health Partners",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Reimbursement Check Was Returned - Update Address,"Looks like a recent reimbursement check we mailed came back to us as undeliverable. If you'd like us to reissue it, just update your mailing address here. hxxp://address-update-reimb.net Member Reimbursements, Willow Creek Health Cooperative",synthetic_llm_batch4
Phishing Email,insurance_claim,Compliance Review: Please Confirm Billing NPI and TIN,"As part of our annual compliance review process, we are asking all contracted providers to confirm their billing NPI and TIN currently on file. Please complete and return the attached compliance form at your earliest convenience so we can keep your account information accurate for the coming year. Compliance Office, Fairhaven Medical Group",synthetic_llm_batch4
Phishing Email,insurance_claim,Quick Question About Claim #10432,"Hi, this is Angela from claims. Can you confirm the account number tied to claim #10432 over email? I want to make sure I have the right one before I process the payment today. Thanks, Angela, OakBridge Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Claim Cannot Be Processed Without This Information,"Your claim cannot move forward without additional information from your end. Please provide it immediately using the link below or the claim will be closed automatically. hxxp://claim-info-required.net QuickFill Rx Benefits, Claims Processing Center",synthetic_llm_batch4
Phishing Email,insurance_claim,Notice of Claim Recoupment,"This letter is to notify you that, following an internal review, we have identified $1,205.50 in claim payments that were issued in error and are now subject to recoupment. If you believe this determination is incorrect, you may dispute it using the link below within 30 days of this notice. hxxp://recoupment-dispute.org Recovery & Recoupment Unit, Summit Health Assurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Re: Claim Payment - Verify to Avoid Delay,"Hi, just circling back, we need you to verify a couple of details before we can release payment on this claim. Won't take a minute. hxxp://payment-verify-delay.net Thanks, MedFirst Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Provider Agreement Needs Your E-Signature,"Your updated provider agreement is ready for signature. Please review the terms and sign electronically using the secure link below so we can keep your participation status current in our network. hxxp://agreement-esign.net Contracting Dept, Lakeview Regional Medical Center",synthetic_llm_batch4
Phishing Email,insurance_claim,Important: New Claims Portal Login Required,"We are transitioning to a new claims portal system this month. All providers will need to set up a new login before their next submission is due to avoid processing delays. Set up your account here: hxxp://newportal-setup.net IT Transition Team, Alliance Care Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Claim Paid to Wrong Account - Please Confirm,"Hey, we think a recent claim payment may have gone to the wrong account by mistake. Can you confirm your correct account details here so we can sort this out? hxxp://correct-account-confirm.net Thanks, Payments Team, Harmony Pharmacy Benefits",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Practice Is Due for Reimbursement Rate Update,"As part of our annual rate schedule review, your practice's reimbursement rates are due for an update effective next quarter. Please review the attached rate schedule and reply to confirm your acceptance so we can apply the new rates without interruption to your payments. Network Management, Pinehill Health Alliance",synthetic_llm_batch4
Phishing Email,insurance_claim,Immediate Action: Claim Will Be Reported to State Board,"This claim discrepancy will be reported to the state licensing board if not resolved within 24 hours. Resolve now: hxxp://state-board-avoid.net Compliance Enforcement, Statewide Provider Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Following Up - Did You Get My Last Email About the Claim?,"Hi, just checking in, did you get my last email about the claim? If you could reply with the account number and date of birth on file I can move this along faster. Thanks, Denise Okafor, Claims Adjuster, Hillcrest Family Practice",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Claim Requires a Corrected W-9 Before Payment,"We are unable to release payment on a recent claim until we receive a corrected W-9 for your practice. Attached is the corrected form to complete and return. Vendor Payments, TrueNorth Health Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Time to Renew Your Provider Enrollment,"Our records show your provider enrollment with our network is coming up for its scheduled renewal. To keep your enrollment active without any gap in claims processing, please complete the renewal steps at the secure link below before the listed deadline. hxxp://provider-enrollment-renew.net Enrollment Services, Cascade Health Partners",synthetic_llm_batch4
Phishing Email,insurance_claim,Patient Refund Owed - Confirm Details to Process,"Hi, our records show a refund is owed to a patient account and we want to make sure it's processed correctly. Could you confirm a few details here when you get a moment? hxxp://patient-refund-confirm.net Thanks, Patient Financial Services, Oakmont Surgical Center",synthetic_llm_batch4
Phishing Email,insurance_claim,Alert: Your Claims Batch Failed to Submit,"Your most recent claims batch failed to submit due to a formatting error. Resubmit immediately to avoid missing this billing cycle: hxxp://batch-resubmit-now.net ScriptWave Insurance, Claims Submission System",synthetic_llm_batch4
Phishing Email,insurance_claim,Please Disregard Previous Notice - Updated Form Attached,"Please disregard our previous notice, we've attached an updated version of the form with corrected fields. No rush, just complete and return whenever convenient. Claims Office, Deer Park Community Hospital",synthetic_llm_batch4
Phishing Email,insurance_claim,Your Account Has an Unresolved Billing Hold,"Your provider account currently has an unresolved billing hold that is preventing new claims from processing. Please review and resolve the hold using the link below so future claims are not delayed. hxxp://billing-hold-resolve.net Billing Compliance, Redwood Health Insurance",synthetic_llm_batch4
Phishing Email,insurance_claim,Last Chance to Update Direct Deposit for Claim Payments,"Last chance to update your direct deposit info before this payment cycle closes tonight. Update now: hxxp://direct-deposit-update.net Payments Processing, GoldKey Health Insurance",synthetic_llm_batch4
